Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
0	0	0	0	0.0	0.0	0.0	0.0	7	760	7	760	7.0	7.0	760.0	760.0	dns
6	410	6	410	6.0	6.0	410.0	410.0	7	760	7	760	7.0	7.0	760.0	760.0	dns
6	410	6	410	6.0	6.0	410.0	410.0	12	1118	5	358	5.0	6.0	358.0	559.0	dns
9	616	3	206	3.0	4.5	206.0	308.0	12	1118	5	358	5.0	6.0	358.0	559.0	dns
9	616	3	206	3.0	4.5	206.0	308.0	13	1430	1	312	1.0	4.333333333333333	312.0	476.6666666666667	dns
9	616	0	0	0.0	3.0	0.0	205.33333333333334	13	1430	1	312	1.0	4.333333333333333	312.0	476.6666666666667	dns
9	616	0	0	0.0	3.0	0.0	205.33333333333334	13	1430	0	0	0.0	3.25	0.0	357.5	dns
9	616	0	0	0.0	2.25	0.0	154.0	13	1430	0	0	0.0	3.25	0.0	357.5	dns
9	616	0	0	0.0	2.25	0.0	154.0	14	1644	1	214	1.0	2.8	214.0	328.8	dns
9	616	0	0	0.0	1.8	0.0	123.2	14	1644	1	214	1.0	2.8	214.0	328.8	dns
9	616	0	0	0.0	1.8	0.0	123.2	14	1644	0	0	0.0	2.3333333333333335	0.0	274.0	dns
9	616	0	0	0.0	1.5	0.0	102.66666666666667	14	1644	0	0	0.0	2.3333333333333335	0.0	274.0	dns
9	616	0	0	0.0	1.5	0.0	102.66666666666667	15	1896	1	252	1.0	2.142857142857143	252.0	270.85714285714283	dns
9	616	0	0	0.0	1.2857142857142858	0.0	88.0	15	1896	1	252	1.0	2.142857142857143	252.0	270.85714285714283	dns
9	616	0	0	0.0	1.2857142857142858	0.0	88.0	15	1896	0	0	0.0	1.875	0.0	237.0	dns
9	616	0	0	0.0	1.125	0.0	77.0	15	1896	0	0	0.0	1.875	0.0	237.0	dns
9	616	0	0	0.0	1.125	0.0	77.0	16	2043	1	147	1.0	1.7777777777777777	147.0	227.0	dns
