Forward Packets,Forward Bytes,Delta Forward Packets,Delta Forward Bytes,Forward Instantaneous Packets per Second,Forward Average Packets per second,Forward Instantaneous Bytes per Second,Forward Average Bytes per second,Reverse Packets,Reverse Bytes,Delta Reverse Packets,Delta Reverse Bytes,DeltaReverse Instantaneous Packets per Second,Reverse Average Packets per second,Reverse Instantaneous Bytes per Second,Reverse Average Bytes per second,Traffic Type
3793,250361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game
3793,250361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game
4521,394687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game
3793,250361,0,0,0,3793,0,250361,0,0,0,0,0,0,0,0,game
4521,394687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game
3793,250361,0,0,0,3793,0,250361,0,0,0,0,0,0,0,0,game
4521,394687,0,0,0,4521,0,394687,0,0,0,0,0,0,0,0,game
3793,250361,0,0,0,1896.5,0,125180.5,0,0,0,0,0,0,0,0,game
4521,394687,0,0,0,4521,0,394687,0,0,0,0,0,0,0,0,game
3793,250361,0,0,0,1896.5,0,125180.5,0,0,0,0,0,0,0,0,game
4521,394687,0,0,0,2260.5,0,197343.5,0,0,0,0,0,0,0,0,game
3793,250361,0,0,0,1264.33333333333,0,83453.6666666667,0,0,0,0,0,0,0,0,game
4521,394687,0,0,0,2260.5,0,197343.5,0,0,0,0,0,0,0,0,game
3793,250361,0,0,0,1264.33333333333,0,83453.6666666667,0,0,0,0,0,0,0,0,game
4521,394687,0,0,0,1507,0,131562.333333333,0,0,0,0,0,0,0,0,game
3793,250361,0,0,0,948.25,0,62590.25,0,0,0,0,0,0,0,0,game
4521,394687,0,0,0,1507,0,131562.333333333,0,0,0,0,0,0,0,0,game
3793,250361,0,0,0,948.25,0,62590.25,0,0,0,0,0,0,0,0,game
4521,394687,0,0,0,1130.25,0,98671.75,0,0,0,0,0,0,0,0,game
3798,250707,5,346,5,759.6,346,50141.4,0,0,0,0,0,0,0,0,game
4521,394687,0,0,0,1130.25,0,98671.75,0,0,0,0,0,0,0,0,game
3798,250707,5,346,5,759.6,346,50141.4,0,0,0,0,0,0,0,0,game
4547,396782,26,2095,26,909.4,2095,79356.4,0,0,0,0,0,0,0,0,game
3798,250707,0,0,0,633,0,41784.5,0,0,0,0,0,0,0,0,game
4547,396782,26,2095,26,909.4,2095,79356.4,0,0,0,0,0,0,0,0,game
3798,250707,0,0,0,633,0,41784.5,0,0,0,0,0,0,0,0,game
4571,398864,24,2082,24,761.833333333333,2082,66477.3333333333,0,0,0,0,0,0,0,0,game
3798,250707,0,0,0,542.571428571429,0,35815.2857142857,0,0,0,0,0,0,0,0,game
4571,398864,24,2082,24,761.833333333333,2082,66477.3333333333,0,0,0,0,0,0,0,0,game
3798,250707,0,0,0,542.571428571429,0,35815.2857142857,0,0,0,0,0,0,0,0,game
4595,400967,24,2103,24,656.428571428571,2103,57281,0,0,0,0,0,0,0,0,game
3798,250707,0,0,0,474.75,0,31338.375,0,0,0,0,0,0,0,0,game
4595,400967,24,2103,24,656.428571428571,2103,57281,0,0,0,0,0,0,0,0,game
3798,250707,0,0,0,474.75,0,31338.375,0,0,0,0,0,0,0,0,game
4619,403018,24,2051,24,577.375,2051,50377.25,0,0,0,0,0,0,0,0,game
3798,250707,0,0,0,422,0,27856.3333333333,0,0,0,0,0,0,0,0,game
4619,403018,24,2051,24,577.375,2051,50377.25,0,0,0,0,0,0,0,0,game
3798,250707,0,0,0,422,0,27856.3333333333,0,0,0,0,0,0,0,0,game
4643,405002,24,1984,24,515.888888888889,1984,45000.2222222222,0,0,0,0,0,0,0,0,game
3798,250707,0,0,0,379.8,0,25070.7,0,0,0,0,0,0,0,0,game
4643,405002,24,1984,24,515.888888888889,1984,45000.2222222222,0,0,0,0,0,0,0,0,game
3798,250707,0,0,0,379.8,0,25070.7,0,0,0,0,0,0,0,0,game
4666,406940,23,1938,23,466.6,1938,40694,0,0,0,0,0,0,0,0,game
3798,250707,0,0,0,345.272727272727,0,22791.5454545455,0,0,0,0,0,0,0,0,game
4666,406940,23,1938,23,466.6,1938,40694,0,0,0,0,0,0,0,0,game
3798,250707,0,0,0,345.272727272727,0,22791.5454545455,0,0,0,0,0,0,0,0,game
4690,409005,24,2065,24,426.363636363636,2065,37182.2727272727,0,0,0,0,0,0,0,0,game
3798,250707,0,0,0,316.5,0,20892.25,0,0,0,0,0,0,0,0,game
4690,409005,24,2065,24,426.363636363636,2065,37182.2727272727,0,0,0,0,0,0,0,0,game
3798,250707,0,0,0,316.5,0,20892.25,0,0,0,0,0,0,0,0,game
4713,410977,23,1972,23,392.75,1972,34248.0833333333,0,0,0,0,0,0,0,0,game
3798,250707,0,0,0,292.153846153846,0,19285.1538461539,0,0,0,0,0,0,0,0,game
4713,410977,23,1972,23,392.75,1972,34248.0833333333,0,0,0,0,0,0,0,0,game
3798,250707,0,0,0,292.153846153846,0,19285.1538461539,0,0,0,0,0,0,0,0,game
4737,413044,24,2067,24,364.384615384615,2067,31772.6153846154,0,0,0,0,0,0,0,0,game
