Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
1	98	1	98	1.0	1.0	98.0	98.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
1	98	1	98	1.0	1.0	98.0	98.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
2	196	1	98	1.0	1.0	98.0	98.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
2	196	1	98	1.0	1.0	98.0	98.0	1	98	1	98	1.0	0.5	98.0	49.0	ping
3	294	1	98	1.0	1.0	98.0	98.0	1	98	1	98	1.0	0.5	98.0	49.0	ping
3	294	1	98	1.0	1.0	98.0	98.0	2	196	1	98	1.0	0.666666666667	98.0	65.3333333333	ping
4	392	1	98	1.0	1.0	98.0	98.0	2	196	1	98	1.0	0.666666666667	98.0	65.3333333333	ping
4	392	1	98	1.0	1.0	98.0	98.0	3	294	1	98	1.0	0.75	98.0	73.5	ping
5	490	1	98	1.0	1.0	98.0	98.0	3	294	1	98	1.0	0.75	98.0	73.5	ping
5	490	1	98	1.0	1.0	98.0	98.0	4	392	1	98	1.0	0.8	98.0	78.4	ping
6	588	1	98	1.0	1.0	98.0	98.0	4	392	1	98	1.0	0.8	98.0	78.4	ping
6	588	1	98	1.0	1.0	98.0	98.0	5	490	1	98	1.0	0.833333333333	98.0	81.6666666667	ping
7	686	1	98	1.0	1.0	98.0	98.0	5	490	1	98	1.0	0.833333333333	98.0	81.6666666667	ping
7	686	1	98	1.0	1.0	98.0	98.0	6	588	1	98	1.0	0.857142857143	98.0	84.0	ping
8	784	1	98	1.0	1.0	98.0	98.0	6	588	1	98	1.0	0.857142857143	98.0	84.0	ping
8	784	1	98	1.0	1.0	98.0	98.0	7	686	1	98	1.0	0.875	98.0	85.75	ping
