Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
45	3992	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	telnet
45	3992	0	0	0.0	0.0	0.0	0.0	46	3036	46	3036	0.0	0.0	0.0	0.0	telnet
71	6241	26	2249	26.0	71.0	2249.0	6241.0	46	3036	46	3036	0.0	0.0	0.0	0.0	telnet
71	6241	26	2249	26.0	71.0	2249.0	6241.0	72	4752	26	1716	26.0	72.0	1716.0	4752.0	telnet
118	10180	47	3939	47.0	59.0	3939.0	5090.0	72	4752	26	1716	26.0	72.0	1716.0	4752.0	telnet
118	10180	47	3939	47.0	59.0	3939.0	5090.0	117	7752	45	3000	45.0	58.5	3000.0	3876.0	telnet
155	13442	37	3262	37.0	51.666666666666664	3262.0	4480.666666666667	117	7752	45	3000	45.0	58.5	3000.0	3876.0	telnet
155	13442	37	3262	37.0	51.666666666666664	3262.0	4480.666666666667	154	10194	37	2442	37.0	51.333333333333336	2442.0	3398.0	telnet
307	26844	152	13402	152.0	76.75	13402.0	6711.0	154	10194	37	2442	37.0	51.333333333333336	2442.0	3398.0	telnet
307	26844	152	13402	152.0	76.75	13402.0	6711.0	306	20226	152	10032	152.0	76.5	10032.0	5056.5	telnet
369	32300	62	5456	62.0	73.8	5456.0	6460.0	306	20226	152	10032	152.0	76.5	10032.0	5056.5	telnet
369	32300	62	5456	62.0	73.8	5456.0	6460.0	368	24318	62	4092	62.0	73.6	4092.0	4863.6	telnet
369	32300	0	0	0.0	61.5	0.0	5383.333333333333	368	24318	62	4092	62.0	73.6	4092.0	4863.6	telnet
369	32300	0	0	0.0	61.5	0.0	5383.333333333333	368	24318	0	0	0.0	61.333333333333336	0.0	4053.0	telnet
369	32300	0	0	0.0	52.714285714285715	0.0	4614.285714285715	368	24318	0	0	0.0	61.333333333333336	0.0	4053.0	telnet
369	32300	0	0	0.0	52.714285714285715	0.0	4614.285714285715	368	24318	0	0	0.0	52.57142857142857	0.0	3474.0	telnet
369	32300	0	0	0.0	46.125	0.0	4037.5	368	24318	0	0	0.0	52.57142857142857	0.0	3474.0	telnet
369	32300	0	0	0.0	46.125	0.0	4037.5	368	24318	0	0	0.0	46.0	0.0	3039.75	telnet
369	32300	0	0	0.0	41.0	0.0	3588.8888888888887	368	24318	0	0	0.0	46.0	0.0	3039.75	telnet
369	32300	0	0	0.0	41.0	0.0	3588.8888888888887	368	24318	0	0	0.0	40.888888888888886	0.0	2702.0	telnet
369	32300	0	0	0.0	36.9	0.0	3230.0	368	24318	0	0	0.0	40.888888888888886	0.0	2702.0	telnet
369	32300	0	0	0.0	36.9	0.0	3230.0	368	24318	0	0	0.0	36.8	0.0	2431.8	telnet
369	32300	0	0	0.0	33.54545454545455	0.0	2936.3636363636365	368	24318	0	0	0.0	36.8	0.0	2431.8	telnet
369	32300	0	0	0.0	33.54545454545455	0.0	2936.3636363636365	368	24318	0	0	0.0	33.45454545454545	0.0	2210.7272727272725	telnet
369	32300	0	0	0.0	30.75	0.0	2691.6666666666665	368	24318	0	0	0.0	33.45454545454545	0.0	2210.7272727272725	telnet
369	32300	0	0	0.0	30.75	0.0	2691.6666666666665	368	24318	0	0	0.0	30.666666666666668	0.0	2026.5	telnet
369	32300	0	0	0.0	28.384615384615383	0.0	2484.6153846153848	368	24318	0	0	0.0	30.666666666666668	0.0	2026.5	telnet
369	32300	0	0	0.0	28.384615384615383	0.0	2484.6153846153848	368	24318	0	0	0.0	28.307692307692307	0.0	1870.6153846153845	telnet
369	32300	0	0	0.0	26.357142857142858	0.0	2307.1428571428573	368	24318	0	0	0.0	28.307692307692307	0.0	1870.6153846153845	telnet
369	32300	0	0	0.0	26.357142857142858	0.0	2307.1428571428573	368	24318	0	0	0.0	26.285714285714285	0.0	1737.0	telnet
369	32300	0	0	0.0	24.6	0.0	2153.3333333333335	368	24318	0	0	0.0	26.285714285714285	0.0	1737.0	telnet
369	32300	0	0	0.0	24.6	0.0	2153.3333333333335	368	24318	0	0	0.0	24.533333333333335	0.0	1621.2	telnet
369	32300	0	0	0.0	23.0625	0.0	2018.75	368	24318	0	0	0.0	24.533333333333335	0.0	1621.2	telnet
369	32300	0	0	0.0	23.0625	0.0	2018.75	368	24318	0	0	0.0	23.0	0.0	1519.875	telnet
369	32300	0	0	0.0	21.705882352941178	0.0	1900.0	368	24318	0	0	0.0	23.0	0.0	1519.875	telnet
369	32300	0	0	0.0	21.705882352941178	0.0	1900.0	368	24318	0	0	0.0	21.647058823529413	0.0	1430.4705882352941	telnet
369	32300	0	0	0.0	20.5	0.0	1794.4444444444443	368	24318	0	0	0.0	21.647058823529413	0.0	1430.4705882352941	telnet
369	32300	0	0	0.0	20.5	0.0	1794.4444444444443	368	24318	0	0	0.0	20.444444444444443	0.0	1351.0	telnet
369	32300	0	0	0.0	19.42105263157895	0.0	1700.0	368	24318	0	0	0.0	20.444444444444443	0.0	1351.0	telnet
369	32300	0	0	0.0	19.42105263157895	0.0	1700.0	368	24318	0	0	0.0	19.36842105263158	0.0	1279.8947368421052	telnet
369	32300	0	0	0.0	18.45	0.0	1615.0	368	24318	0	0	0.0	19.36842105263158	0.0	1279.8947368421052	telnet
369	32300	0	0	0.0	18.45	0.0	1615.0	368	24318	0	0	0.0	18.4	0.0	1215.9	telnet
369	32300	0	0	0.0	17.571428571428573	0.0	1538.095238095238	368	24318	0	0	0.0	18.4	0.0	1215.9	telnet
369	32300	0	0	0.0	17.571428571428573	0.0	1538.095238095238	368	24318	0	0	0.0	17.523809523809526	0.0	1158.0	telnet
369	32300	0	0	0.0	16.772727272727273	0.0	1468.1818181818182	368	24318	0	0	0.0	17.523809523809526	0.0	1158.0	telnet
369	32300	0	0	0.0	16.772727272727273	0.0	1468.1818181818182	368	24318	0	0	0.0	16.727272727272727	0.0	1105.3636363636363	telnet
369	32300	0	0	0.0	16.043478260869566	0.0	1404.3478260869565	368	24318	0	0	0.0	16.727272727272727	0.0	1105.3636363636363	telnet
369	32300	0	0	0.0	16.043478260869566	0.0	1404.3478260869565	368	24318	0	0	0.0	16.0	0.0	1057.304347826087	telnet
369	32300	0	0	0.0	15.375	0.0	1345.8333333333333	368	24318	0	0	0.0	16.0	0.0	1057.304347826087	telnet
369	32300	0	0	0.0	15.375	0.0	1345.8333333333333	368	24318	0	0	0.0	15.333333333333334	0.0	1013.25	telnet
