Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
0	0	0	0	0.0	0.0	0.0	0.0	5	339	5	339	5.0	5.0	339.0	339.0	voice
2	145	2	145	2.0	2.0	145.0	145.0	5	339	5	339	5.0	5.0	339.0	339.0	voice
2	145	2	145	2.0	2.0	145.0	145.0	56	7965	51	7626	51.0	28.0	7626.0	3982.5	voice
9	616	7	471	7.0	4.5	471.0	308.0	56	7965	51	7626	51.0	28.0	7626.0	3982.5	voice
9	616	7	471	7.0	4.5	471.0	308.0	105	15707	49	7742	49.0	35.0	7742.0	5235.666666666667	voice
9	616	0	0	0.0	3.0	0.0	205.33333333333334	105	15707	49	7742	49.0	35.0	7742.0	5235.666666666667	voice
9	616	0	0	0.0	3.0	0.0	205.33333333333334	154	23449	49	7742	49.0	38.5	7742.0	5862.25	voice
9	616	0	0	0.0	2.25	0.0	154.0	154	23449	49	7742	49.0	38.5	7742.0	5862.25	voice
9	616	0	0	0.0	2.25	0.0	154.0	203	31191	49	7742	49.0	40.6	7742.0	6238.2	voice
9	616	0	0	0.0	1.8	0.0	123.2	203	31191	49	7742	49.0	40.6	7742.0	6238.2	voice
9	616	0	0	0.0	1.8	0.0	123.2	252	38933	49	7742	49.0	42.0	7742.0	6488.833333333333	voice
9	616	0	0	0.0	1.5	0.0	102.66666666666667	252	38933	49	7742	49.0	42.0	7742.0	6488.833333333333	voice
9	616	0	0	0.0	1.5	0.0	102.66666666666667	300	46517	48	7584	48.0	42.857142857142854	7584.0	6645.285714285715	voice
9	616	0	0	0.0	1.2857142857142858	0.0	88.0	300	46517	48	7584	48.0	42.857142857142854	7584.0	6645.285714285715	voice
9	616	0	0	0.0	1.2857142857142858	0.0	88.0	349	54259	49	7742	49.0	43.625	7742.0	6782.375	voice
9	616	0	0	0.0	1.125	0.0	77.0	349	54259	49	7742	49.0	43.625	7742.0	6782.375	voice
9	616	0	0	0.0	1.125	0.0	77.0	397	61843	48	7584	48.0	44.111111111111114	7584.0	6871.444444444444	voice
9	616	0	0	0.0	1.0	0.0	68.44444444444444	397	61843	48	7584	48.0	44.111111111111114	7584.0	6871.444444444444	voice
9	616	0	0	0.0	1.0	0.0	68.44444444444444	446	69585	49	7742	49.0	44.6	7742.0	6958.5	voice
9	616	0	0	0.0	0.9	0.0	61.6	446	69585	49	7742	49.0	44.6	7742.0	6958.5	voice
9	616	0	0	0.0	0.9	0.0	61.6	495	77327	49	7742	49.0	45.0	7742.0	7029.727272727273	voice
9	616	0	0	0.0	0.8181818181818182	0.0	56.0	495	77327	49	7742	49.0	45.0	7742.0	7029.727272727273	voice
9	616	0	0	0.0	0.8181818181818182	0.0	56.0	498	77714	3	387	3.0	41.5	387.0	6476.166666666667	voice
10	682	1	66	1.0	0.8333333333333334	66.0	56.833333333333336	498	77714	3	387	3.0	41.5	387.0	6476.166666666667	voice
10	682	1	66	1.0	0.8333333333333334	66.0	56.833333333333336	552	85455	54	7741	54.0	42.46153846153846	7741.0	6573.461538461538	voice
19	1298	9	616	9.0	1.4615384615384615	616.0	99.84615384615384	552	85455	54	7741	54.0	42.46153846153846	7741.0	6573.461538461538	voice
19	1298	9	616	9.0	1.4615384615384615	616.0	99.84615384615384	600	93039	48	7584	48.0	42.857142857142854	7584.0	6645.642857142857	voice
19	1298	0	0	0.0	1.3571428571428572	0.0	92.71428571428571	600	93039	48	7584	48.0	42.857142857142854	7584.0	6645.642857142857	voice
19	1298	0	0	0.0	1.3571428571428572	0.0	92.71428571428571	649	100781	49	7742	49.0	43.266666666666666	7742.0	6718.733333333334	voice
19	1298	0	0	0.0	1.2666666666666666	0.0	86.53333333333333	649	100781	49	7742	49.0	43.266666666666666	7742.0	6718.733333333334	voice
19	1298	0	0	0.0	1.2666666666666666	0.0	86.53333333333333	698	108523	49	7742	49.0	43.625	7742.0	6782.6875	voice
19	1298	0	0	0.0	1.1875	0.0	81.125	698	108523	49	7742	49.0	43.625	7742.0	6782.6875	voice
19	1298	0	0	0.0	1.1875	0.0	81.125	747	116265	49	7742	49.0	43.94117647058823	7742.0	6839.117647058823	voice
19	1298	0	0	0.0	1.1176470588235294	0.0	76.3529411764706	747	116265	49	7742	49.0	43.94117647058823	7742.0	6839.117647058823	voice
19	1298	0	0	0.0	1.1176470588235294	0.0	76.3529411764706	796	124007	49	7742	49.0	44.22222222222222	7742.0	6889.277777777777	voice
19	1298	0	0	0.0	1.0555555555555556	0.0	72.11111111111111	796	124007	49	7742	49.0	44.22222222222222	7742.0	6889.277777777777	voice
19	1298	0	0	0.0	1.0555555555555556	0.0	72.11111111111111	844	131591	48	7584	48.0	44.421052631578945	7584.0	6925.8421052631575	voice
19	1298	0	0	0.0	1.0	0.0	68.3157894736842	844	131591	48	7584	48.0	44.421052631578945	7584.0	6925.8421052631575	voice
19	1298	0	0	0.0	1.0	0.0	68.3157894736842	893	139333	49	7742	49.0	44.65	7742.0	6966.65	voice
19	1298	0	0	0.0	0.95	0.0	64.9	893	139333	49	7742	49.0	44.65	7742.0	6966.65	voice
19	1298	0	0	0.0	0.95	0.0	64.9	942	147075	49	7742	49.0	44.857142857142854	7742.0	7003.571428571428	voice
19	1298	0	0	0.0	0.9047619047619048	0.0	61.80952380952381	942	147075	49	7742	49.0	44.857142857142854	7742.0	7003.571428571428	voice
19	1298	0	0	0.0	0.9047619047619048	0.0	61.80952380952381	991	154817	49	7742	49.0	45.04545454545455	7742.0	7037.136363636364	voice
19	1298	0	0	0.0	0.8636363636363636	0.0	59.0	991	154817	49	7742	49.0	45.04545454545455	7742.0	7037.136363636364	voice
19	1298	0	0	0.0	0.8636363636363636	0.0	59.0	996	155520	5	703	5.0	43.30434782608695	703.0	6761.739130434783	voice
20	1364	1	66	1.0	0.8695652173913043	66.0	59.30434782608695	996	155520	5	703	5.0	43.30434782608695	703.0	6761.739130434783	voice
20	1364	1	66	1.0	0.8695652173913043	66.0	59.30434782608695	1049	163011	53	7491	53.0	43.708333333333336	7491.0	6792.125	voice
29	1980	9	616	9.0	1.2083333333333333	616.0	82.5	1049	163011	53	7491	53.0	43.708333333333336	7491.0	6792.125	voice
29	1980	9	616	9.0	1.2083333333333333	616.0	82.5	1098	170753	49	7742	49.0	43.92	7742.0	6830.12	voice
29	1980	0	0	0.0	1.16	0.0	79.2	1098	170753	49	7742	49.0	43.92	7742.0	6830.12	voice
29	1980	0	0	0.0	1.16	0.0	79.2	1146	178337	48	7584	48.0	44.07692307692308	7584.0	6859.115384615385	voice
29	1980	0	0	0.0	1.1153846153846154	0.0	76.15384615384616	1146	178337	48	7584	48.0	44.07692307692308	7584.0	6859.115384615385	voice
29	1980	0	0	0.0	1.1153846153846154	0.0	76.15384615384616	1195	186079	49	7742	49.0	44.25925925925926	7742.0	6891.814814814815	voice
29	1980	0	0	0.0	1.0740740740740742	0.0	73.33333333333333	1195	186079	49	7742	49.0	44.25925925925926	7742.0	6891.814814814815	voice
29	1980	0	0	0.0	1.0740740740740742	0.0	73.33333333333333	1244	193821	49	7742	49.0	44.42857142857143	7742.0	6922.178571428572	voice
29	1980	0	0	0.0	1.0357142857142858	0.0	70.71428571428571	1244	193821	49	7742	49.0	44.42857142857143	7742.0	6922.178571428572	voice
29	1980	0	0	0.0	1.0357142857142858	0.0	70.71428571428571	1293	201563	49	7742	49.0	44.58620689655172	7742.0	6950.448275862069	voice
29	1980	0	0	0.0	1.0	0.0	68.27586206896552	1293	201563	49	7742	49.0	44.58620689655172	7742.0	6950.448275862069	voice
29	1980	0	0	0.0	1.0	0.0	68.27586206896552	1342	209305	49	7742	49.0	44.733333333333334	7742.0	6976.833333333333	voice
29	1980	0	0	0.0	0.9666666666666667	0.0	66.0	1342	209305	49	7742	49.0	44.733333333333334	7742.0	6976.833333333333	voice
29	1980	0	0	0.0	0.9666666666666667	0.0	66.0	1390	216889	48	7584	48.0	44.83870967741935	7584.0	6996.419354838709	voice
29	1980	0	0	0.0	0.9354838709677419	0.0	63.87096774193548	1390	216889	48	7584	48.0	44.83870967741935	7584.0	6996.419354838709	voice
29	1980	0	0	0.0	0.9354838709677419	0.0	63.87096774193548	1439	224631	49	7742	49.0	44.96875	7742.0	7019.71875	voice
29	1980	0	0	0.0	0.90625	0.0	61.875	1439	224631	49	7742	49.0	44.96875	7742.0	7019.71875	voice
29	1980	0	0	0.0	0.90625	0.0	61.875	1488	232373	49	7742	49.0	45.09090909090909	7742.0	7041.606060606061	voice
29	1980	0	0	0.0	0.8787878787878788	0.0	60.0	1488	232373	49	7742	49.0	45.09090909090909	7742.0	7041.606060606061	voice
29	1980	0	0	0.0	0.8787878787878788	0.0	60.0	1495	233392	7	1019	7.0	43.970588235294116	1019.0	6864.470588235294	voice
30	2046	1	66	1.0	0.8823529411764706	66.0	60.1764705882353	1495	233392	7	1019	7.0	43.970588235294116	1019.0	6864.470588235294	voice
30	2046	1	66	1.0	0.8823529411764706	66.0	60.1764705882353	1546	240567	51	7175	51.0	44.17142857142857	7175.0	6873.342857142857	voice
39	2662	9	616	9.0	1.1142857142857143	616.0	76.05714285714286	1546	240567	51	7175	51.0	44.17142857142857	7175.0	6873.342857142857	voice
39	2662	9	616	9.0	1.1142857142857143	616.0	76.05714285714286	1595	248309	49	7742	49.0	44.30555555555556	7742.0	6897.472222222223	voice
39	2662	0	0	0.0	1.0833333333333333	0.0	73.94444444444444	1595	248309	49	7742	49.0	44.30555555555556	7742.0	6897.472222222223	voice
39	2662	0	0	0.0	1.0833333333333333	0.0	73.94444444444444	1644	256051	49	7742	49.0	44.432432432432435	7742.0	6920.2972972972975	voice
39	2662	0	0	0.0	1.054054054054054	0.0	71.94594594594595	1644	256051	49	7742	49.0	44.432432432432435	7742.0	6920.2972972972975	voice
39	2662	0	0	0.0	1.054054054054054	0.0	71.94594594594595	1692	263635	48	7584	48.0	44.526315789473685	7584.0	6937.763157894737	voice
39	2662	0	0	0.0	1.0263157894736843	0.0	70.05263157894737	1692	263635	48	7584	48.0	44.526315789473685	7584.0	6937.763157894737	voice
39	2662	0	0	0.0	1.0263157894736843	0.0	70.05263157894737	1741	271377	49	7742	49.0	44.64102564102564	7742.0	6958.384615384615	voice
39	2662	0	0	0.0	1.0	0.0	68.25641025641026	1741	271377	49	7742	49.0	44.64102564102564	7742.0	6958.384615384615	voice
39	2662	0	0	0.0	1.0	0.0	68.25641025641026	1790	279119	49	7742	49.0	44.75	7742.0	6977.975	voice
39	2662	0	0	0.0	0.975	0.0	66.55	1790	279119	49	7742	49.0	44.75	7742.0	6977.975	voice
39	2662	0	0	0.0	0.975	0.0	66.55	1839	286861	49	7742	49.0	44.853658536585364	7742.0	6996.609756097561	voice
39	2662	0	0	0.0	0.9512195121951219	0.0	64.92682926829268	1839	286861	49	7742	49.0	44.853658536585364	7742.0	6996.609756097561	voice
39	2662	0	0	0.0	0.9512195121951219	0.0	64.92682926829268	1887	294445	48	7584	48.0	44.92857142857143	7584.0	7010.5952380952385	voice
39	2662	0	0	0.0	0.9285714285714286	0.0	63.38095238095238	1887	294445	48	7584	48.0	44.92857142857143	7584.0	7010.5952380952385	voice
39	2662	0	0	0.0	0.9285714285714286	0.0	63.38095238095238	1936	302187	49	7742	49.0	45.02325581395349	7742.0	7027.604651162791	voice
39	2662	0	0	0.0	0.9069767441860465	0.0	61.906976744186046	1936	302187	49	7742	49.0	45.02325581395349	7742.0	7027.604651162791	voice
39	2662	0	0	0.0	0.9069767441860465	0.0	61.906976744186046	1985	309929	49	7742	49.0	45.11363636363637	7742.0	7043.840909090909	voice
39	2662	0	0	0.0	0.8863636363636364	0.0	60.5	1985	309929	49	7742	49.0	45.11363636363637	7742.0	7043.840909090909	voice
39	2662	0	0	0.0	0.8863636363636364	0.0	60.5	1995	311422	10	1493	10.0	44.333333333333336	1493.0	6920.488888888889	voice
40	2728	1	66	1.0	0.8888888888888888	66.0	60.62222222222222	1995	311422	10	1493	10.0	44.333333333333336	1493.0	6920.488888888889	voice
40	2728	1	66	1.0	0.8888888888888888	66.0	60.62222222222222	2043	318123	48	6701	48.0	44.41304347826087	6701.0	6915.717391304348	voice
49	3344	9	616	9.0	1.065217391304348	616.0	72.69565217391305	2043	318123	48	6701	48.0	44.41304347826087	6701.0	6915.717391304348	voice
49	3344	9	616	9.0	1.065217391304348	616.0	72.69565217391305	2092	325865	49	7742	49.0	44.51063829787234	7742.0	6933.297872340426	voice
49	3344	0	0	0.0	1.0425531914893618	0.0	71.14893617021276	2092	325865	49	7742	49.0	44.51063829787234	7742.0	6933.297872340426	voice
49	3344	0	0	0.0	1.0425531914893618	0.0	71.14893617021276	2141	333607	49	7742	49.0	44.604166666666664	7742.0	6950.145833333333	voice
49	3344	0	0	0.0	1.0208333333333333	0.0	69.66666666666667	2141	333607	49	7742	49.0	44.604166666666664	7742.0	6950.145833333333	voice
49	3344	0	0	0.0	1.0208333333333333	0.0	69.66666666666667	2190	341349	49	7742	49.0	44.69387755102041	7742.0	6966.306122448979	voice
49	3344	0	0	0.0	1.0	0.0	68.24489795918367	2190	341349	49	7742	49.0	44.69387755102041	7742.0	6966.306122448979	voice
49	3344	0	0	0.0	1.0	0.0	68.24489795918367	2239	349091	49	7742	49.0	44.78	7742.0	6981.82	voice
49	3344	0	0	0.0	0.98	0.0	66.88	2239	349091	49	7742	49.0	44.78	7742.0	6981.82	voice
49	3344	0	0	0.0	0.98	0.0	66.88	2288	356833	49	7742	49.0	44.86274509803921	7742.0	6996.725490196079	voice
49	3344	0	0	0.0	0.9607843137254902	0.0	65.56862745098039	2288	356833	49	7742	49.0	44.86274509803921	7742.0	6996.725490196079	voice
49	3344	0	0	0.0	0.9607843137254902	0.0	65.56862745098039	2337	364575	49	7742	49.0	44.94230769230769	7742.0	7011.057692307692	voice
49	3344	0	0	0.0	0.9423076923076923	0.0	64.3076923076923	2337	364575	49	7742	49.0	44.94230769230769	7742.0	7011.057692307692	voice
49	3344	0	0	0.0	0.9423076923076923	0.0	64.3076923076923	2386	372317	49	7742	49.0	45.0188679245283	7742.0	7024.8490566037735	voice
49	3344	0	0	0.0	0.9245283018867925	0.0	63.094339622641506	2386	372317	49	7742	49.0	45.0188679245283	7742.0	7024.8490566037735	voice
49	3344	0	0	0.0	0.9245283018867925	0.0	63.094339622641506	2435	380059	49	7742	49.0	45.092592592592595	7742.0	7038.12962962963	voice
49	3344	0	0	0.0	0.9074074074074074	0.0	61.925925925925924	2435	380059	49	7742	49.0	45.092592592592595	7742.0	7038.12962962963	voice
49	3344	0	0	0.0	0.9074074074074074	0.0	61.925925925925924	2483	387643	48	7584	48.0	45.14545454545455	7584.0	7048.054545454545	voice
49	3344	0	0	0.0	0.8909090909090909	0.0	60.8	2483	387643	48	7584	48.0	45.14545454545455	7584.0	7048.054545454545	voice
49	3344	0	0	0.0	0.8909090909090909	0.0	60.8	2495	389452	12	1809	12.0	44.55357142857143	1809.0	6954.5	voice
50	3410	1	66	1.0	0.8928571428571429	66.0	60.892857142857146	2495	389452	12	1809	12.0	44.55357142857143	1809.0	6954.5	voice
50	3410	1	66	1.0	0.8928571428571429	66.0	60.892857142857146	2541	395837	46	6385	46.0	44.578947368421055	6385.0	6944.508771929824	voice
59	4026	9	616	9.0	1.0350877192982457	616.0	70.63157894736842	2541	395837	46	6385	46.0	44.578947368421055	6385.0	6944.508771929824	voice
59	4026	9	616	9.0	1.0350877192982457	616.0	70.63157894736842	2590	403579	49	7742	49.0	44.6551724137931	7742.0	6958.258620689655	voice
59	4026	0	0	0.0	1.0172413793103448	0.0	69.41379310344827	2590	403579	49	7742	49.0	44.6551724137931	7742.0	6958.258620689655	voice
59	4026	0	0	0.0	1.0172413793103448	0.0	69.41379310344827	2639	411321	49	7742	49.0	44.728813559322035	7742.0	6971.542372881356	voice
59	4026	0	0	0.0	1.0	0.0	68.23728813559322	2639	411321	49	7742	49.0	44.728813559322035	7742.0	6971.542372881356	voice
59	4026	0	0	0.0	1.0	0.0	68.23728813559322	2687	418905	48	7584	48.0	44.78333333333333	7584.0	6981.75	voice
59	4026	0	0	0.0	0.9833333333333333	0.0	67.1	2687	418905	48	7584	48.0	44.78333333333333	7584.0	6981.75	voice
59	4026	0	0	0.0	0.9833333333333333	0.0	67.1	2736	426647	49	7742	49.0	44.85245901639344	7742.0	6994.213114754099	voice
59	4026	0	0	0.0	0.9672131147540983	0.0	66.0	2736	426647	49	7742	49.0	44.85245901639344	7742.0	6994.213114754099	voice
59	4026	0	0	0.0	0.9672131147540983	0.0	66.0	2785	434389	49	7742	49.0	44.91935483870968	7742.0	7006.274193548387	voice
59	4026	0	0	0.0	0.9516129032258065	0.0	64.93548387096774	2785	434389	49	7742	49.0	44.91935483870968	7742.0	7006.274193548387	voice
59	4026	0	0	0.0	0.9516129032258065	0.0	64.93548387096774	2785	434389	0	0	0.0	44.20634920634921	0.0	6895.063492063492	voice
59	4026	0	0	0.0	0.9365079365079365	0.0	63.904761904761905	2785	434389	0	0	0.0	44.20634920634921	0.0	6895.063492063492	voice
59	4026	0	0	0.0	0.9365079365079365	0.0	63.904761904761905	2882	449715	97	15326	97.0	45.03125	15326.0	7026.796875	voice
59	4026	0	0	0.0	0.921875	0.0	62.90625	2882	449715	97	15326	97.0	45.03125	15326.0	7026.796875	voice
59	4026	0	0	0.0	0.921875	0.0	62.90625	2882	449715	0	0	0.0	44.33846153846154	0.0	6918.692307692308	voice
59	4026	0	0	0.0	0.9076923076923077	0.0	61.93846153846154	2882	449715	0	0	0.0	44.33846153846154	0.0	6918.692307692308	voice
59	4026	0	0	0.0	0.9076923076923077	0.0	61.93846153846154	2980	465199	98	15484	98.0	45.15151515151515	15484.0	7048.469696969697	voice
59	4026	0	0	0.0	0.8939393939393939	0.0	61.0	2980	465199	98	15484	98.0	45.15151515151515	15484.0	7048.469696969697	voice
59	4026	0	0	0.0	0.8939393939393939	0.0	61.0	2981	465270	1	71	1.0	44.492537313432834	71.0	6944.328358208955	voice
